Date, Type, Company, Symbol, Firm, Rating, Price_str, Price_int, Actual, Percent_Diff
02-Jul-2012,Downgrades,UPS,UPS,Deutsche Bank,Buy &#187; Hold,$88 &#187; $82,82,85.47,4.2317
02-Jul-2012,Downgrades,Union Pacific,UNP,BB&amp;T Capital Mkts,Buy &#187; Hold,,,153.65,0.0
02-Jul-2012,Downgrades,Roper Inds,ROP,Longbow,Buy &#187; Neutral,,,124.18,0.0
02-Jul-2012,Downgrades,Rockwell Automation,ROK,Longbow,Buy &#187; Neutral,,,83.51,0.0
02-Jul-2012,Downgrades,Crosstex Energy LP,XTEX,Global Hunter Securities,Buy &#187; Accumulate,$21 &#187; $18,18,19.93,10.7222
02-Jul-2012,Downgrades,ONEOK Partners,OKS,Global Hunter Securities,Buy &#187; Accumulate,$62 &#187; $57,57,47.39,-16.8596
02-Jul-2012,Downgrades,DCP Midstream,DPM,Global Hunter Securities,Accumulate &#187; Neutral,$48 &#187; $40,40,53.85,34.625
02-Jul-2012,Downgrades,Forest Oil,FST,Stifel,Buy &#187; Hold,$18,18,4.15,-76.9444
02-Jul-2012,Downgrades,Cimarex,XEC,Stifel,Buy &#187; Hold,,,67.19,0.0
02-Jul-2012,Downgrades,Nike,NKE,Argus,Buy &#187; Hold,,,62.22,0.0
02-Jul-2012,Downgrades,Greenbrier Comp,GBX,KeyBanc Capital Mkts,Buy &#187; Hold,,,22.27,0.0
02-Jul-2012,Downgrades,Analog Devices,ADI,Sterne Agee,Buy &#187; Neutral,$42,42,44.67,6.3571
02-Jul-2012,Downgrades,Cirrus Logic,CRUS,Oppenheimer,Outperform &#187; Perform,,,17.89,0.0
02-Jul-2012,Downgrades,Red Lion Hotels,RLH,Robert W. Baird,Neutral &#187; Underperform,$7,7,6.33,-9.5714
02-Jul-2012,Coverage Initiated,ON Semiconductor,ONNN,Sterne Agee,Neutral,$8,8,8.1,1.25
02-Jul-2012,Coverage Initiated,LSI Logic,LSI,Mizuho,Buy,$10,10,7.14,-28.6
02-Jul-2012,Coverage Initiated,Cytokinetics,CYTK,Needham,Buy,$2.50,2.50,12.37,394.8
02-Jul-2012,Coverage Reit/Price Tgt Changed*,F5 Networks,FFIV,Northland Capital,Market Perform,$134 &#187; $120,120,68.94,-42.55
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Wal-Mart,WMT,UBS,Neutral,$59 &#187; $69,69,73.83,7
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Costco,COST,Stifel,Buy,$90 &#187; $100,100,109.99,9.99
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Constellation Brands,STZ,Canaccord Genuity,Buy,$28 &#187; $30,30,51.25,70.8333
02-Jul-2012,Coverage Reit/Price Tgt Changed*,F5 Networks,FFIV,Oppenheimer,Outperform,$150 &#187; $130,130,68.94,-46.9692
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Quest Diagnostics,DGX,Mizuho,Neutral,$61 &#187; $62,62,59.82,-3.5161
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Laboratory Corp,LH,Mizuho,Neutral,$91 &#187; $95,95,99.22,4.4421
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Community Health,CYH,Mizuho,Neutral,$22 &#187; $27,27,46.54,72.3704
02-Jul-2012,Coverage Reit/Price Tgt Changed*,HCA,HCA,Mizuho,Neutral,$27 &#187; $31,31,36.91,19.0645
02-Jul-2012,Coverage Reit/Price Tgt Changed*,Tronox,TROX,Imperial Capital,Outperform,$230 &#187; $195,195,19.04,-90.2359
29-Jun-2012,Upgrades,Crown Hldgs,CCK,Barclays,Equal Weight &#187; Overweight,$40 &#187; $43,43,,0.0
29-Jun-2012,Upgrades,Oracle,ORCL,RBC Capital Mkts,Sector Perform &#187; Outperform,$33 &#187; $36,36,,0.0
29-Jun-2012,Upgrades,Bed Bath &amp; Beyond,BBBY,BB&amp;T Capital Mkts,Hold &#187; Buy,,,,0.0
29-Jun-2012,Upgrades,Celgene,CELG,Argus,Hold &#187; Buy,$75,75,,0.0
29-Jun-2012,Upgrades,Cincinnati Fincl,CINF,Stifel,Hold &#187; Buy,$44,44,,0.0
29-Jun-2012,Upgrades,Enbridge Energy,EEP,Oppenheimer,Perform &#187; Outperform,,,,0.0
29-Jun-2012,Downgrades,Anthera Pharma,ANTH,Ascendiant Capital Markets,Buy &#187; Neutral,$2.50 &#187; $0.90,0.90,,0.0
29-Jun-2012,Downgrades,Nike,NKE,DA Davidson,Buy &#187; Neutral,$123 &#187; $93,93,,0.0
29-Jun-2012,Downgrades,LRR Energy L.P.,LRE,Oppenheimer,Outperform &#187; Perform,,,,0.0
29-Jun-2012,Downgrades,Buckeye Partners,BPL,Oppenheimer,Outperform &#187; Perform,,,,0.0
29-Jun-2012,Downgrades,Nike,NKE,Robert W. Baird,Outperform &#187; Neutral,$130 &#187; $95,95,,0.0
29-Jun-2012,Coverage Initiated,ProAssurance,PRA,JMP Securities,Mkt Outperform,$100,100,,0.0
29-Jun-2012,Coverage Initiated,EnteroMedics,ETRM,Northland Capital,Outperform,$4.50,4.50,,0.0
29-Jun-2012,Coverage Initiated,Rochester Medical,ROCM,Northland Capital,Outperform,$14,14,,0.0
29-Jun-2012,Coverage Initiated,RTI Biologics,RTIX,Northland Capital,Market Perform,$4.20,4.20,,0.0
29-Jun-2012,Coverage Initiated,Wilson Greatbatch,GB,Northland Capital,Outperform,$27,27,,0.0
29-Jun-2012,Coverage Initiated,ICG,ICGE,Northland Capital,Outperform,$14,14,,0.0
29-Jun-2012,Coverage Initiated,NetSuite,N,Northland Capital,Market Perform,$53,53,,0.0
29-Jun-2012,Coverage Initiated,ServiceSource Intl,SREV,Northland Capital,Outperform,$17,17,,0.0
29-Jun-2012,Coverage Initiated,Triangle Capital,TCAP,Stifel,Hold,,,,0.0
29-Jun-2012,Coverage Initiated,OceanFirst Finl,OCFC,Stifel,Hold,,,,0.0
29-Jun-2012,Coverage Initiated,Diodes,DIOD,Needham,Buy,$20,20,,0.0
29-Jun-2012,Coverage Resumed,Westfield Fin,WFD,Stifel,Buy,$8,8,,0.0
29-Jun-2012,Coverage Resumed,Rockville Financial,RCKB,Stifel,Buy,$15,15,,0.0
29-Jun-2012,Coverage Resumed,First Connecticut Bancorp,FBNK,Stifel,Buy,$15.50,15.50,,0.0
29-Jun-2012,Coverage Reit/Price Tgt Changed*,Walter Energy,WLT,UBS,Buy,$77 &#187; $75,75,,0.0
29-Jun-2012,Coverage Reit/Price Tgt Changed*,Nike,NKE,UBS,Buy,$125 &#187; $99,99,,0.0
29-Jun-2012,Coverage Reit/Price Tgt Changed*,Smith &amp; Wesson,SWHC,Northland Capital,Outperform,$11 &#187; $14,14,,0.0
29-Jun-2012,Coverage Reit/Price Tgt Changed*,Orbotech,ORBK,Oppenheimer,Outperform,$18 &#187; $12,12,,0.0
29-Jun-2012,Coverage Reit/Price Tgt Changed*,Conceptus,CPTS,Cantor Fitzgerald,Buy,$20 &#187; $22,22,,0.0
28-Jun-2012,Upgrades,Western Gas Partners,WES,UBS,Neutral &#187; Buy,$48 &#187; $48,48,63.05,31.3542
28-Jun-2012,Upgrades,Spectra Energy,SE,UBS,Neutral &#187; Buy,$31 &#187; $31,31,33.57,8.2903
28-Jun-2012,Downgrades,Anthera Pharma,ANTH,JMP Securities,Mkt Outperform &#187; Mkt Perform,,,3.68,0.0
28-Jun-2012,Downgrades,LKQ,LKQ,Robert W. Baird,Outperform &#187; Neutral,$37,37,25.75,-30.4054
28-Jun-2012,Coverage Initiated,NV Energy,NVE,KeyBanc Capital Mkts,Hold,,,23.09,0.0
28-Jun-2012,Coverage Initiated,Shuffle Master,SHFL,Deutsche Bank,Buy,$18,18,17.71,-1.6111
28-Jun-2012,Coverage Initiated,Gardner Denver,GDI,Maxim Group,Buy,$65,65,75.18,15.6615
28-Jun-2012,Coverage Initiated,Clean Energy Fuels,CLNE,Capstone Investments,Buy,$18,18,13.2,-26.6667
28-Jun-2012,Coverage Initiated,VirtualScopics,VSCP,Dawson James,Buy,$1.75,1.75,3.8,117.1429
28-Jun-2012,Coverage Initiated,Ford Motor,F,Stifel,Hold,,,15.17,0.0
28-Jun-2012,Coverage Initiated,Linn Energy,LINE,Ladenburg Thalmann,Buy,$42,42,30.97,-26.2619
28-Jun-2012,Coverage Initiated,Symmetry Medical,SMA,The Benchmark Company,Hold,$10,10,8.42,-15.8
28-Jun-2012,Coverage Initiated,Geron,GERN,Needham,Hold,,,1.5,0.0
28-Jun-2012,Coverage Initiated,Facebook,FB,William Blair,Outperform,,,24.88,0.0
28-Jun-2012,Coverage Initiated,Riverbed Technology,RVBD,Needham,Strong Buy,$25,25,15.56,-37.76
28-Jun-2012,Coverage Initiated,CEMEX S.A.,CX,Imperial Capital,Underperform,$3.50,3.50,10.58,202.2857
28-Jun-2012,Coverage Initiated,Broadcom,BRCM,Cantor Fitzgerald,Buy,$40,40,33.37,-16.575
28-Jun-2012,Coverage Initiated,Qualcomm,QCOM,Cantor Fitzgerald,Buy,$66,66,60.48,-8.3636
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Dollar General,DG,Avondale,Mkt Outperform,$52 &#187; $60,60,50.43,-15.95
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Orbotech,ORBK,Needham,Buy,$16 &#187; $10,10,12.44,24.4
28-Jun-2012,Coverage Reit/Price Tgt Changed*,HMS Holdings,HMSY,Dougherty &amp; Company,Buy,$32 &#187; $37,37,23.3,-37.027
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Lions Gate Entertainment,LGF,Caris &amp; Company,Above Average,$15 &#187; $18,18,27.43,52.3889
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Seagate Tech,STX,The Benchmark Company,Hold,$15 &#187; $13,13,43.64,235.6923
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Radware,RDWR,Oppenheimer,Outperform,$42 &#187; $45,45,13.79,-69.3556
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Perry Ellis,PERY,The Benchmark Company,Buy,$22 &#187; $26,26,20.31,-21.8846
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Progress Software,PRGS,Mizuho,Neutral,$21 &#187; $19,19,23.01,21.1053
28-Jun-2012,Coverage Reit/Price Tgt Changed*,Lennar,LEN,FBR Capital,Outperform,$32 &#187; $35,35,35.92,2.6286
27-Jun-2012,Upgrades,HomeAway,AWAY,Stifel,Hold &#187; Buy,$26,26,32.53,25.1154
27-Jun-2012,Upgrades,Dreamworks Animation,DWA,Stifel,Sell &#187; Hold,,,25.72,0.0
27-Jun-2012,Upgrades,News Corp.,NWSA,Needham,Hold &#187; Buy,$27,27,15.5,-42.5926
27-Jun-2012,Upgrades,ValueClick,VCLK,The Benchmark Company,Hold &#187; Buy,$20,20,24.47,22.35
27-Jun-2012,Upgrades,E.ON AG,EONGY,HSBC Securities,Neutral &#187; Overweight,,,16.32,0.0
27-Jun-2012,Downgrades,Procter &amp; Gamble,PG,RBC Capital Mkts,Outperform &#187; Sector Perform,$70 &#187; $64,64,75.92,18.625
27-Jun-2012,Downgrades,Infineon,IFNNY,HSBC Securities,Overweight &#187; Neutral,,,8.32,0.0
27-Jun-2012,Coverage Initiated,Facebook,FB,Barclays,Equal Weight,$35,35,24.66,-29.5429
27-Jun-2012,Coverage Initiated,Anheuser-Busch InBev,BUD,RBC Capital Mkts,Outperform,,,89.33,0.0
27-Jun-2012,Coverage Initiated,Facebook,FB,RBC Capital Mkts,Outperform,$40,40,24.66,-38.35
27-Jun-2012,Coverage Initiated,New York &amp; Co,NWY,Capstone Investments,Hold,,,6.24,0.0
27-Jun-2012,Coverage Initiated,Texas Instruments,TXN,Northland Capital,Market Perform,$30,30,34.11,13.7
27-Jun-2012,Coverage Initiated,NVIDIA,NVDA,Northland Capital,Outperform,$16,16,13.86,-13.375
27-Jun-2012,Coverage Initiated,Intel,INTC,Northland Capital,Market Perform,$30,30,23.37,-22.1
27-Jun-2012,Coverage Initiated,EZchip,EZCH,Northland Capital,Outperform,$50,50,27.03,-45.94
27-Jun-2012,Coverage Initiated,Vertex Pharm,VRTX,Maxim Group,Buy,$86,86,80.53,-6.3605
27-Jun-2012,Coverage Initiated,Zynga,ZNGA,Stifel,Buy,$8.50,8.50,2.86,-66.3529
27-Jun-2012,Coverage Initiated,Facebook,FB,Stifel,Hold,,,24.66,0.0
27-Jun-2012,Coverage Initiated,Emulex,ELX,Northland Capital,Outperform,$9,9,6.45,-28.3333
27-Jun-2012,Coverage Initiated,Broadcom,BRCM,Northland Capital,Outperform,$42,42,33.19,-20.9762
27-Jun-2012,Coverage Initiated,Advanced Micro,AMD,Northland Capital,Outperform,$7,7,4.08,-41.7143
27-Jun-2012,Coverage Initiated,QLogic,QLGC,Northland Capital,Outperform,$17,17,9.59,-43.5882
27-Jun-2012,Coverage Initiated,PMC-Sierra,PMCS,Northland Capital,Market Perform,$7,7,6.32,-9.7143
27-Jun-2012,Coverage Initiated,Marvell,MRVL,Northland Capital,Outperform,$15,15,11.72,-21.8667
27-Jun-2012,Coverage Initiated,Facebook,FB,Oppenheimer,Outperform,$41,41,24.66,-39.8537
27-Jun-2012,Coverage Initiated,Fluidigm,FLDM,Cantor Fitzgerald,Buy,$17,17,17.31,1.8235
27-Jun-2012,Coverage Initiated,Accelrys,ACCL,Cantor Fitzgerald,Buy,$10,10,8.41,-15.9
27-Jun-2012,Coverage Resumed,Synergy Resources,SYRG,C.K. Cooper,Buy,$5,5,7.6,52
27-Jun-2012,Coverage Reit/Price Tgt Changed*,SBA Comm,SBAC,Canaccord Genuity,Buy,$60 &#187; $67,67,74.44,11.1045
27-Jun-2012,Coverage Reit/Price Tgt Changed*,Fossil,FOSL,FBR Capital,Mkt Perform,$95 &#187; $80,80,103.65,29.5625
26-Jun-2012,Upgrades,AutoZone,AZO,Deutsche Bank,Hold &#187; Buy,$385 &#187; $425,425,413.99,-2.5906
26-Jun-2012,Upgrades,Country Style Cooking,CCSC,Maxim Group,Sell &#187; Hold,,,6.08,0.0
26-Jun-2012,Upgrades,Veeco Instruments,VECO,Stifel,Hold &#187; Buy,$48,48,35.44,-26.1667
26-Jun-2012,Upgrades,Post Properties,PPS,Stifel,Hold &#187; Buy,$56,56,47.6,-15
26-Jun-2012,Downgrades,Edwards Lifesciences,EW,UBS,Buy &#187; Neutral,$98 &#187; $107,107,66.23,-38.1028
26-Jun-2012,Downgrades,Precision Drilling,PDS,RBC Capital Mkts,Outperform &#187; Sector Perform,$10 &#187; $8,8,8.54,6.75
26-Jun-2012,Downgrades,Patterson-UTI,PTEN,RBC Capital Mkts,Outperform &#187; Sector Perform,$24 &#187; $16,16,19.53,22.0625
26-Jun-2012,Coverage Initiated,Tronox,TROX,UBS,Buy,$145,145,19.17,-86.7793
26-Jun-2012,Coverage Initiated,Silver Wheaton,SLW,RBC Capital Mkts,Outperform,$43,43,17.64,-58.9767
26-Jun-2012,Coverage Initiated,Capital Senior,CSU,JMP Securities,Mkt Outperform,$16,16,23.44,46.5
26-Jun-2012,Coverage Initiated,PhotoMedex,PHMD,Maxim Group,Buy,$19,19,15.39,-19
26-Jun-2012,Coverage Initiated,Cogent Communications,CCOI,National Securities,Neutral,,,27.7,0.0
26-Jun-2012,Coverage Initiated,Millennial Media,MM,Canaccord Genuity,Buy,$18,18,8.72,-51.5556
26-Jun-2012,Coverage Initiated,Bankrate,RATE,Canaccord Genuity,Buy,$25,25,14.9,-40.4
26-Jun-2012,Coverage Initiated,Gannett,GCI,Imperial Capital,Outperform,$21,21,24.2,15.2381
26-Jun-2012,Coverage Initiated,eBay,EBAY,Needham,Buy,$50,50,51.33,2.66
26-Jun-2012,Coverage Initiated,Move,MOVE,The Benchmark Company,Buy,$11,11,12.22,11.0909
26-Jun-2012,Coverage Initiated,Zimmer Hldgs,ZMH,Cantor Fitzgerald,Hold,$65,65,74.6,14.7692
26-Jun-2012,Coverage Initiated,Xyratex,XRTX,Cantor Fitzgerald,Hold,$12,12,9.97,-16.9167
26-Jun-2012,Coverage Initiated,Stryker,SYK,Cantor Fitzgerald,Hold,$56,56,64.18,14.6071
26-Jun-2012,Coverage Resumed,Raytheon,RTN,Stifel,Buy,$63,63,64.92,3.0476
26-Jun-2012,Coverage Resumed,Northrop Grumman,NOC,Stifel,Hold,,,80.86,0.0
26-Jun-2012,Coverage Resumed,Lockheed Martin,LMT,Stifel,Hold,,,103.81,0.0
